architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
init	flickr8k	1	True	10	8	-11.157874	-2.6434789	11.309229	0
init	flickr8k	1	True	10	9	-11.22461	-2.6420655	11.135687	0
init	flickr8k	1	True	10	10	-9.817041	-1.72329	9.7838745	0
init	flickr8k	1	True	10	11	-10.481535	-2.4185233	10.662853	0
init	flickr8k	1	True	11	0	-8.947331	-1.9940392	7.534286	0
init	flickr8k	1	True	11	1	-10.037983	-1.6463357	11.510069	0
init	flickr8k	1	True	11	2	-10.4463215	-2.0877728	11.376925	0
init	flickr8k	1	True	11	3	-11.110939	-2.423527	11.008672	0
init	flickr8k	1	True	11	4	-10.994172	-2.182897	11.204924	0
init	flickr8k	1	True	11	5	-10.0971	-1.5445262	11.009445	0
init	flickr8k	1	True	11	6	-10.329752	-1.7892987	11.001848	0
init	flickr8k	1	True	11	7	-10.526767	-2.2732615	10.398791	0
init	flickr8k	1	True	11	8	-10.801376	-2.3268542	10.804364	0
init	flickr8k	1	True	11	9	-11.229572	-2.717181	11.421186	0
init	flickr8k	1	True	11	10	-10.981832	-2.4572327	10.907148	0
init	flickr8k	1	True	11	11	-9.586789	-1.636071	9.76973	0
init	flickr8k	1	True	11	12	-10.425461	-2.4219496	10.929258	0
init	flickr8k	1	True	12	0	-9.012476	-2.0072045	7.5162287	0
init	flickr8k	1	True	12	1	-9.964794	-1.6408273	11.494474	0
init	flickr8k	1	True	12	2	-10.392799	-2.159717	10.798671	0
init	flickr8k	1	True	12	3	-11.679416	-2.5726166	11.327802	0
init	flickr8k	1	True	12	4	-10.262481	-1.7833818	10.963723	0
init	flickr8k	1	True	12	5	-10.365719	-1.4981775	11.299229	0
init	flickr8k	1	True	12	6	-10.306435	-2.0858045	10.495027	0
init	flickr8k	1	True	12	7	-10.7838125	-2.2777555	10.107788	0
init	flickr8k	1	True	12	8	-10.829393	-2.402998	11.029926	0
init	flickr8k	1	True	12	9	-10.712583	-2.2974098	10.867113	0
