dataset	run	sent_len	token_index	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	total_time
mscoco	1	8	5	7.9078025e-05	0.017889233	9.664244e-05	0.032851756	6.124855e-05	0.003491765	5.1615978e-05	0.014438593	106
mscoco	1	8	6	0.00035586784	0.01656119	0.00038919042	0.03257565	0.000322985	0.0031730183	0.00020138427	0.013996839	118
mscoco	1	8	7	0.0014986426	0.017401675	0.001593371	0.032992195	0.0013141818	0.0038902068	0.00072286255	0.014771444	129
mscoco	1	8	8	0.0023295209	0.018512156	0.0039566876	0.0355255	0.0011655617	0.0039070146	0.001468658	0.016047109	140
mscoco	1	8	9	0.0140512055	0.01434612	0.025328623	0.026268564	0.0049773175	0.0049407836	0.010795204	0.0111687	151
mscoco	1	9	0	0.00017402651	0.010317132	0.00026737608	0.018008035	8.067699e-05	0.0026262254	0.00012590853	0.0054123034	61
mscoco	1	9	1	8.850205e-06	0.013074436	1.22804595e-05	0.019987578	5.419948e-06	0.006161293	6.708127e-06	0.009631044	61
mscoco	1	9	2	5.0165818e-05	0.017866392	7.2773604e-05	0.030299118	3.069291e-05	0.0054884744	3.9539525e-05	0.012150711	72
mscoco	1	9	3	3.5296194e-05	0.018826406	4.7153928e-05	0.031539865	2.274241e-05	0.0044822088	2.4746001e-05	0.014006197	83
mscoco	1	9	4	3.8019884e-05	0.018348908	4.886478e-05	0.0319379	2.6905016e-05	0.0038577174	2.5883865e-05	0.01418744	94
mscoco	1	9	5	6.5735054e-05	0.017996993	8.01617e-05	0.03265636	5.1310282e-05	0.003578347	4.2718806e-05	0.014476286	105
mscoco	1	9	6	0.00026642214	0.016821908	0.00029565828	0.032162905	0.00024015526	0.0032126533	0.0001557033	0.01416745	116
mscoco	1	9	7	0.0034079598	0.016370125	0.003301441	0.032059714	0.0031025268	0.0042380826	0.0016265761	0.013861322	127
mscoco	1	9	8	0.0029561336	0.017238535	0.00437935	0.03310742	0.0016909324	0.004061327	0.0017727725	0.014824892	138
mscoco	1	9	9	0.0029009518	0.017541528	0.0063279867	0.035595927	0.00077062147	0.0032518916	0.002206077	0.015931778	149
mscoco	1	9	10	0.010662286	0.010865615	0.021972103	0.02254944	0.0025739607	0.0025875333	0.009127886	0.00938006	160
mscoco	1	10	0	0.00017402651	0.010317131	0.00026737613	0.018008035	8.067699e-05	0.0026262256	0.00012590854	0.0054123034	43
mscoco	1	10	1	8.9749365e-06	0.01291551	1.2485398e-05	0.019732183	5.4644747e-06	0.0060988325	6.7729648e-06	0.009544572	44
mscoco	1	10	2	4.530203e-05	0.017684553	6.608674e-05	0.029730523	2.773814e-05	0.0054653236	3.5739948e-05	0.011973375	52
mscoco	1	10	3	3.4956873e-05	0.018554343	4.6614194e-05	0.031251237	2.2452203e-05	0.0044312766	2.4527366e-05	0.013880416	59
mscoco	1	10	4	3.623641e-05	0.018008348	4.658161e-05	0.031379137	2.5364217e-05	0.0037892803	2.4589619e-05	0.01400617	67
mscoco	1	10	5	6.5538356e-05	0.017816981	8.0735765e-05	0.032829273	5.0049337e-05	0.0035231155	4.2665775e-05	0.01441595	75
mscoco	1	10	6	0.00022855766	0.017322788	0.00025139356	0.03298847	0.00020827483	0.003312891	0.00013145438	0.01460364	82
mscoco	1	10	7	0.0028555943	0.016541505	0.0027815832	0.032193307	0.002588995	0.004027568	0.0013812364	0.014115506	90
mscoco	1	10	8	0.0072487546	0.017174523	0.009487049	0.032107703	0.0045800526	0.005646244	0.0042550205	0.014104178	98
mscoco	1	10	9	0.0033728129	0.016472498	0.0064724325	0.033502225	0.0010907779	0.003349188	0.0024682737	0.0148887355	106
mscoco	1	10	10	0.0026682296	0.01663804	0.0064060856	0.035327874	0.00050790847	0.0028106638	0.002191711	0.015800906	114
mscoco	1	10	11	0.009301361	0.009459568	0.020406581	0.020885212	0.0017806995	0.0018014848	0.008446926	0.0086805755	122
mscoco	1	11	0	0.00017402653	0.010317131	0.0002673761	0.018008038	8.067699e-05	0.0026262256	0.00012590854	0.005412304	27
mscoco	1	11	1	8.207054e-06	0.012986624	1.1447048e-05	0.019801058	4.967058e-06	0.006172189	6.145265e-06	0.009567476	27
mscoco	1	11	2	4.4768578e-05	0.01769685	6.554417e-05	0.030045042	2.7267013e-05	0.005423826	3.5431516e-05	0.012020072	33
mscoco	1	11	3	3.2496366e-05	0.018478345	4.3409287e-05	0.031049492	2.0498726e-05	0.004385456	2.2855917e-05	0.0138779	37
mscoco	1	11	4	3.5006156e-05	0.017885605	4.546779e-05	0.031374145	2.4142177e-05	0.0037536966	2.3852792e-05	0.0138389645	42
mscoco	1	11	5	6.2444706e-05	0.017790716	7.725868e-05	0.03269999	4.7824295e-05	0.0034614052	4.0774547e-05	0.014536548	47
mscoco	1	11	6	0.00024309689	0.01699437	0.00027074767	0.03261303	0.00022364681	0.0032662116	0.00014190482	0.014362684	51
mscoco	1	11	7	0.0020436465	0.016765362	0.001993651	0.03293739	0.0018642374	0.0037013243	0.0009970234	0.014492822	57
mscoco	1	11	8	0.006293501	0.017469844	0.008158691	0.03294921	0.00407405	0.0053510657	0.0036937585	0.01457732	62
mscoco	1	11	9	0.0070332433	0.016020073	0.012475933	0.032566853	0.0026402578	0.0039987573	0.0052166274	0.014150751	67
mscoco	1	11	10	0.0037832076	0.016065957	0.008143725	0.03444521	0.00080157124	0.002880944	0.0030252885	0.015104321	72
mscoco	1	11	11	0.002682842	0.016439166	0.0069849286	0.035953604	0.00041899647	0.0026191552	0.002316947	0.016159242	77
mscoco	1	11	12	0.008815546	0.008959649	0.019922668	0.020363463	0.0015688244	0.001586346	0.008279283	0.008474605	81
mscoco	1	12	0	0.00017402651	0.010317131	0.0002673761	0.018008038	8.067699e-05	0.0026262256	0.00012590854	0.005412304	16
mscoco	1	12	1	8.769635e-06	0.012997942	1.2142897e-05	0.019849861	5.396373e-06	0.0061460217	6.669271e-06	0.009610581	16
mscoco	1	12	2	4.515798e-05	0.018051637	6.623636e-05	0.030600723	2.7204593e-05	0.0055222153	3.54308e-05	0.012162617	19
mscoco	1	12	3	3.5902594e-05	0.019275447	4.817794e-05	0.032222208	2.2764287e-05	0.0045522964	2.5399984e-05	0.014284056	22
mscoco	1	12	4	3.444147e-05	0.018441297	4.413344e-05	0.031987302	2.323386e-05	0.0038244072	2.333305e-05	0.014252239	24
mscoco	1	12	5	6.4820044e-05	0.017234512	8.153726e-05	0.03140831	4.793141e-05	0.0033533545	4.3350938e-05	0.013927195	28
mscoco	1	12	6	0.0002755459	0.017045949	0.0003084071	0.03277702	0.0002348447	0.0032129376	0.0001637982	0.014293281	30
mscoco	1	12	7	0.0021462499	0.01638611	0.0022208914	0.032602	0.0018875002	0.0036588646	0.0010821858	0.014180711	33
mscoco	1	12	8	0.004933323	0.017344402	0.0066193123	0.033306904	0.003104165	0.0047647003	0.00288227	0.014651185	36
mscoco	1	12	9	0.006711147	0.016999995	0.011850012	0.034297373	0.0025060032	0.004059198	0.004944772	0.015090153	39
mscoco	1	12	10	0.006881098	0.015503548	0.014026366	0.03383478	0.0016437275	0.003002907	0.0056597367	0.014537767	42
mscoco	1	12	11	0.004045159	0.015753038	0.009486108	0.03492396	0.0007151767	0.0026486334	0.0034453718	0.015350766	43
mscoco	1	12	12	0.0030463513	0.016124317	0.007997762	0.03578029	0.00047967673	0.0025361832	0.0027885723	0.016398247	48
mscoco	1	12	13	0.008356963	0.008606784	0.018837305	0.019502549	0.001465688	0.0014996551	0.0081450315	0.008459567	50
mscoco	1	13	0	0.00017402651	0.010317132	0.0002673761	0.018008037	8.067699e-05	0.0026262258	0.00012590853	0.0054123034	10
mscoco	1	13	1	8.249781e-06	0.012637564	1.1412862e-05	0.019305531	5.0867e-06	0.0059695956	6.2214326e-06	0.009360616	9
