architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
pre	flickr8k	1	True	5	4	99	4.2309625e-06	0.00078003976	4.5962828e-05	0.00835553	0.00012158855	0.015760427	1.2706519e-05	0.0030515636	3.0352849e-06	0.0005457985	4.5923072e-05	0.008734753	0.8986493154908671	1.014587748188977	0.4604867362614834	0.11357185094043462	0.22468388306372095	0.1392052910582285	2275.686868686869	0.8987704852633763	3
pre	flickr8k	1	True	5	5	99	1.5306225e-05	0.001156099	0.00030757015	0.0070148692	0.001211091	0.010349564	5.3826592e-05	0.0019167281	1.0200085e-05	0.0007981031	0.00014570926	0.00819283	0.8986493154908671	1.014587748188977	0.5223599046167701	0.13398663925402093	0.8049447735597501	0.4238760481127585	2283.777777777778	0.9019659469896437	3
pre	flickr8k	1	True	5	6	99	0.0009122003	0.0009349875	0.009219242	0.00972364	0.028771969	0.030521894	0.0023153517	0.0023652087	0.00062567723	0.00064391876	0.008476663	0.008962963	0.8986493154908671	1.014587748188977	0.5267160829871592	0.034543107856403694	0.11779182306443801	0.10929421480331156	2428.343434343434	0.9590613879713406	3
pre	flickr8k	1	True	6	0	168	5.8766927e-06	0.00084030814	0.00012709139	0.022929791	0.00019383497	0.03854017	6.0347822e-05	0.007319408	4.4565827e-06	0.0006096761	3.7864822e-05	0.0068034623	0.9029511938403759	1.007140930650556	0.6842450408176297	0.07053282005446297	0.7835669068431127	0.3926828696525523	2454.3273809523807	0.9693236101707665	3
pre	flickr8k	1	True	6	1	168	1.50382e-08	0.0016816242	1.7108215e-07	0.0060383705	1.6441592e-07	0.0042328513	1.7774839e-07	0.00784389	1.08398766e-08	0.001138926	1.172194e-07	0.008549178	0.9029511938403759	1.007140930650556	0.5878958349071798	0.07797151839449293	0.8864685351852261	0.5351274219740715	2429.1666666666665	0.9593865192206423	3
pre	flickr8k	1	True	6	2	168	1.5772765e-06	0.0011780976	1.8472116e-05	0.009723221	3.5943405e-05	0.02120095	1.1063231e-05	0.0055886186	1.1312114e-06	0.0008130627	1.297425e-05	0.008385541	0.9029511938403759	1.007140930650556	0.5985627739379803	0.05851225129195622	0.5476838416209266	0.33856298337646185	2447.529761904762	0.9666389265026706	3
pre	flickr8k	1	True	6	3	168	7.676493e-06	0.0009017544	6.44211e-05	0.0066479268	0.00015117561	0.013914772	2.7604756e-05	0.0030873795	5.241699e-06	0.0006289156	5.722776e-05	0.007213877	0.9029511938403759	1.007140930650556	0.5596116420236372	0.03327433942329316	0.5092096653035176	0.26711070258170366	2484.8928571428573	0.9813952832317762	4
pre	flickr8k	1	True	6	4	168	5.0815863e-05	0.00089209597	0.0004805974	0.0089273965	0.0014774139	0.028413203	0.00014470708	0.002500455	3.3920962e-05	0.00061601336	0.00038930675	0.007880507	0.9029511938403759	1.007140930650556	0.5319456940605527	0.0318960930619921	0.34546851699373554	0.1726163324811274	2464.339285714286	0.973277758970887	5
pre	flickr8k	1	True	6	5	168	6.1349765e-06	0.000831684	7.0402944e-05	0.006259958	0.00020940085	0.012080948	2.1115766e-05	0.0021828765	4.2709057e-06	0.0005686518	7.524019e-05	0.008669491	0.9029511938403759	1.007140930650556	0.452215536541882	0.09476347764333089	0.2559834399670806	0.1533224186749153	2316.4821428571427	0.9148823628977657	6
pre	flickr8k	1	True	6	6	168	9.1144075e-06	0.0011298368	0.00011494368	0.0053602727	0.0005329046	0.0067285756	1.1208043e-05	0.001629699	6.696009e-06	0.00076676544	7.965827e-05	0.007910522	0.9029511938403759	1.007140930650556	0.5069192655029751	0.13345658921060108	0.7764558258350007	0.39845578824835165	2284.5238095238096	0.9022605882795457	6
