architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
merge	flickr8k	1	True	12	6	-18.778622	-6.030688	7.420795	0
merge	flickr8k	1	True	12	7	-18.289707	-5.9431033	6.824857	0
merge	flickr8k	1	True	12	8	-18.965223	-6.2507114	7.954868	0
merge	flickr8k	1	True	12	9	-18.55899	-6.1637	7.1775017	0
merge	flickr8k	1	True	12	10	-18.971085	-6.268021	9.088668	0
merge	flickr8k	1	True	12	11	-18.152477	-6.0991025	8.033723	0
merge	flickr8k	1	True	12	12	-17.866043	-5.7042384	5.960195	0
merge	flickr8k	1	True	12	13	-19.370808	-6.377511	7.3502154	0
merge	flickr8k	1	True	13	0	-17.065762	-5.743357	4.5835347	0
merge	flickr8k	1	True	13	1	-16.598791	-5.227354	8.287278	0
merge	flickr8k	1	True	13	2	-18.056963	-5.837279	8.064881	0
merge	flickr8k	1	True	13	3	-17.661394	-6.1656446	7.9789224	0
merge	flickr8k	1	True	13	4	-17.072504	-5.9151516	7.3404593	0
merge	flickr8k	1	True	13	5	-17.779375	-5.7807584	7.4134645	0
merge	flickr8k	1	True	13	6	-18.673243	-6.0621347	7.299316	0
merge	flickr8k	1	True	13	7	-17.831764	-5.932158	6.5963163	0
merge	flickr8k	1	True	13	8	-17.940199	-6.0027103	6.61529	0
merge	flickr8k	1	True	13	9	-18.388086	-6.1452	7.6304545	0
merge	flickr8k	1	True	13	10	-18.151941	-6.0557876	7.2077193	0
merge	flickr8k	1	True	13	11	-18.94053	-6.365753	8.38684	0
merge	flickr8k	1	True	13	12	-18.000017	-6.127984	7.423468	0
merge	flickr8k	1	True	13	13	-17.85458	-5.7812133	6.0580893	0
merge	flickr8k	1	True	13	14	-19.336916	-6.382709	7.479547	0
merge	flickr8k	1	True	14	0	-17.009909	-5.7294383	4.727703	0
merge	flickr8k	1	True	14	1	-16.598743	-5.213435	8.461162	0
merge	flickr8k	1	True	14	2	-17.590118	-5.6368036	8.710593	0
merge	flickr8k	1	True	14	3	-17.71473	-6.1145563	7.796896	0
merge	flickr8k	1	True	14	4	-17.16883	-5.999523	7.425743	0
merge	flickr8k	1	True	14	5	-17.881418	-5.802086	7.217166	0
merge	flickr8k	1	True	14	6	-18.378391	-5.9548283	7.3264675	0
merge	flickr8k	1	True	14	7	-17.996477	-5.9459467	6.776209	0
merge	flickr8k	1	True	14	8	-17.471224	-5.7889957	6.6236935	0
merge	flickr8k	1	True	14	9	-17.536028	-5.8409314	6.739717	0
merge	flickr8k	1	True	14	10	-18.382011	-5.99597	7.3070564	0
merge	flickr8k	1	True	14	11	-18.143204	-5.937153	6.645548	0
merge	flickr8k	1	True	14	12	-18.590683	-6.281097	7.4685755	0
merge	flickr8k	1	True	14	13	-18.048683	-6.180825	7.585286	0
merge	flickr8k	1	True	14	14	-17.7552	-5.765793	6.133315	0
merge	flickr8k	1	True	14	15	-19.278103	-6.351388	7.4384894	0
merge	flickr8k	2	True	5	0	-17.449583	-6.0310435	4.5013986	0
merge	flickr8k	2	True	5	1	-16.933678	-5.5422745	8.380084	0
merge	flickr8k	2	True	5	2	-18.552011	-6.2091036	6.511417	0
merge	flickr8k	2	True	5	3	-19.73793	-6.827526	7.177651	0
merge	flickr8k	2	True	5	4	-18.965506	-6.595603	8.088915	0
merge	flickr8k	2	True	5	5	-18.187418	-6.180229	6.163627	0
merge	flickr8k	2	True	5	6	-20.035652	-6.751576	7.762223	0
merge	flickr8k	2	True	6	0	-17.059725	-5.89785	4.48984	0
merge	flickr8k	2	True	6	1	-16.835386	-5.4109583	8.282569	0
