corpus	frozen_prefix	corpus_size_factor_exponent	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
mscoco	True	-1.0	3	3000	693	1348669	3.2509913041e-09	1.30174328712e-16	5.49168912169e-18	42.1273255915	26.6740152048	28.9965552036	666	0.961038961038961	5	5	10.569	20	0	0.0	None	3394	1176	357	1000	1.0	486	131	166	17	666	4386	6764	15	131	136	592	3675765	9.50526360687e-06	1.28301756171e-12	1.09248105616e-13	16.2014864786	11.0774980788	11.9017355444	178	0.30067567567567566	23	5	9.734	20	0	0.0	None	7650	6163	4494	764	0.764	119	17	30	1	178	451	834	0.6186562564207295	0.42549899199965036	0.28052282171871196	0.18391376186843442	0.1876731227222461	0.44292878487	0.438300708949	0.124658496904	0.137422497361	131	344	465	13.0	0.131	0.344	0.465	0.013	11	484	812
mscoco	True	-0.5	3	9487	1364	1806962	1.67999189066e-09	2.79119517148e-17	9.50470204501e-19	55.2898827134	31.6948641664	34.3856968499	1024	0.750733137829912	5	6	10.245	20	0	0.0	None	4221	1750	613	999	0.999	699	175	217	25	1024	4420	6556	10	170	177	1057	4230975	7.02760716916e-06	1.87180665623e-13	1.41470447622e-14	21.2697280828	13.059245235	14.2044717749	232	0.2194891201513718	20	5	9.478	20	0	0.0	None	7333	5827	4130	785	0.785	154	18	47	1	232	560	1004	0.6108883730744238	0.4176683996889479	0.2750516217994783	0.18030152337163713	0.18739033824643134	0.441837547916	0.448003148417	0.12236696276	0.138201459384	166	394	528	9.0	0.166	0.394	0.528	0.009	11	514	891
mscoco	True	0.0	3	30000	2573	2632709	1.3901040129e-09	9.88484563218e-18	3.32691198394e-19	77.5820613625	34.0781339077	38.1066668829	1250	0.48581422464049745	5	6	10.308	20	0	0.0	None	5230	2610	1144	1000	1.0	838	195	259	25	1250	4522	6533	8	347	358	1629	4913943	5.78809085981e-06	8.04381966069e-14	4.08678646391e-15	26.5996708434	14.3498135654	15.8101022021	271	0.1663597298956415	13	5	9.297	20	0	0.0	None	7232	5813	4134	789	0.789	175	20	57	2	271	634	1125	0.6216338145058361	0.433544118876968	0.29354499909238785	0.19627830156760429	0.19248066940002745	0.443989523002	0.479746113825	0.12952756654	0.141225168857	164	415	527	9.0	0.164	0.415	0.527	0.009	11	546	981
mscoco	True	0.5	3	94868	4590	4010320	2.41960644311e-09	1.68678620872e-17	5.62796821246e-19	81.9094387742	32.6407799285	36.6973511793	1378	0.3002178649237473	5	6	10.406	20	0	0.0	None	6007	3387	1642	1000	1.0	900	223	296	34	1378	4726	6730	7	1069	1089	2081	5453631	8.67485968726e-06	8.40116210095e-14	3.21712299606e-15	27.5622105853	14.8195944183	16.190808164	276	0.13262854396924556	9	5	9.573	20	0	0.0	None	7511	6078	4325	801	0.801	185	24	59	1	276	679	1158	0.6091089522615053	0.42347302836370726	0.2830846715604424	0.18481002781723432	0.192618223767484	0.444858559078	0.473568442238	0.132324840977	0.140808062197	163	440	559	8.0	0.163	0.44	0.559	0.008	11	580	1062
mscoco	True	1.0	3	300000	7633	6088689	4.0155459865e-09	3.76665696755e-17	1.33153914098e-18	82.4931681562	29.9963515658	34.441495084	1449	0.1898336171885235	5	6	10.491	20	0	0.0	None	6598	4136	2286	1000	1.0	954	245	297	37	1449	4769	6686	6	3657	3692	2343	5766459	1.33089688916e-05	7.84680549149e-14	3.46633336043e-15	27.9284196447	14.5988253452	16.1630303477	290	0.12377294067434913	10	5	9.558	20	0	0.0	None	7487	6092	4397	768	0.768	198	18	62	2	290	693	1166	0.6155053358442545	0.4247956889867815	0.28396009120063276	0.18736730213055755	0.19112350202216177	0.442854802129	0.483033327154	0.131487286386	0.142432742821	177	426	557	8.0	0.177	0.426	0.557	0.008	11	592	1104
mscoco	False	-1.0	1	3000	684	1342522	4.48347044163e-09	1.02953592683e-16	4.19579529837e-18	44.8312250745	27.470392085	29.8065983597	648	0.9473684210526315	5	5	10.294	20	0	0.0	None	3507	1236	379	1000	1.0	471	130	155	17	648	4033	6288	14	131	136	593	3676959	1.85428691393e-05	7.19508012824e-12	6.89580909726e-13	14.2731936998	9.40653324324	10.2981814955	216	0.3642495784148398	21	5	10.177	20	0	0.0	None	8092	6521	4658	832	0.832	138	19	42	2	216	594	1123	0.6039107792079587	0.41300330157518567	0.27023072631585315	0.17382003408692193	0.19103763064226542	0.440970362505	0.43534822327	0.127572968269	0.136538454382	119	308	445	14.0	0.119	0.308	0.445	0.014	13	1281	1609
mscoco	False	-0.5	1	9487	1361	1804913	2.59647414941e-09	2.65684004122e-17	1.17653490081e-18	53.4955624959	30.8593331937	33.621813023	1018	0.7479794268919912	5	5	10.457	20	0	0.0	None	4151	1708	617	1000	1.0	707	170	232	25	1018	4598	6812	9	164	171	1037	4207095	1.25927401098e-05	1.11846608214e-12	7.65295581997e-14	18.4727901889	11.3296260511	12.378530182	258	0.24879459980713597	12	5	9.903	20	0	0.0	None	7803	6284	4497	824	0.824	176	19	53	1	258	666	1235	0.6154700595778435	0.4261527694584251	0.2862781026188376	0.18932352380608372	0.1936659637572677	0.448200946226	0.480340176124	0.13148222316	0.141896305989	147	371	494	11.0	0.147	0.371	0.494	0.011	12	1225	1604
mscoco	False	0.0	1	30000	2590	2644320	1.80030031728e-09	1.23013882918e-17	4.0273260574e-19	74.5808964045	33.3142432642	37.3474743025	1249	0.48223938223938223	5	5	10.066	20	0	0.0	None	5151	2579	1119	1000	1.0	871	201	251	22	1249	4427	6363	8	383	394	1623	4906779	1.08528578996e-05	2.75747216287e-13	1.46163746805e-14	23.5464938305	12.8973350101	14.2293115449	296	0.18237831176833025	13	5	9.949	20	0	0.0	None	7836	6348	4592	852	0.852	198	22	62	3	296	749	1372	0.6134284852748403	0.4270877872542097	0.2868880076389031	0.1896858617110433	0.19585234609205635	0.449286622992	0.487383375284	0.133619259039	0.144025998708	164	404	518	9.0	0.164	0.404	0.518	0.009	11	1165	1606
mscoco	False	0.5	1	94868	4580	4003490	2.98589383629e-09	1.55276768268e-17	5.79389640054e-19	86.6932557509	32.2775678465	36.418580146	1419	0.309825327510917	5	6	10.205	20	0	0.0	None	5851	3337	1670	999	0.999	941	235	296	28	1419	4622	6466	7	1114	1132	2075	5446467	1.14323154847e-05	1.90640680553e-13	9.15013736676e-15	24.6515797773	13.3619699533	14.8408813258	304	0.14650602409638555	6	5	10.1	20	0	0.0	None	7987	6429	4596	844	0.844	202	23	73	3	304	763	1353	0.6085148514850882	0.41640520865051794	0.2779389464210443	0.185078256395581	0.19260077229020806	0.44496293111	0.47609568789	0.131657422455	0.138541557203	168	405	532	9.0	0.168	0.405	0.532	0.009	10	1085	1578
mscoco	False	1.0	1	300000	7629	6085957	4.08277758768e-09	3.42994478639e-17	1.0704138515e-18	85.7847729659	30.9443770023	34.8718843905	1445	0.1894088347096605	5	5	10.354	20	0	0.0	None	6532	4109	2300	1000	1.0	940	229	318	38	1445	4749	6676	7	4169	4204	2341	5764071	1.17768535098e-05	1.50460578608e-13	7.52198219063e-15	25.1631851451	13.6663002829	15.1309316846	291	0.12430585219991457	6	5	9.92	20	0	0.0	None	7815	6349	4576	824	0.824	197	19	69	0	291	715	1239	0.6148185483870348	0.42438571630474464	0.28302871380020783	0.18480292856984903	0.1942834660748474	0.448180806367	0.489548049917	0.133905294015	0.141374466708	176	404	543	9.0	0.176	0.404	0.543	0.009	9	998	1518
