architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
par	flickr8k	1	True	6	1	112	3.3035958e-09	0.0021316553	3.4619294e-08	0.009075632	5.1458976e-08	0.013517533	1.7779623e-08	0.004633731	5.0169033e-09	0.0028443683	2.4059574e-08	0.008160538	0.9034946585473206	1.052436444781571	0.5316019018313715	0.36244531055646284	0.9249487332142182	0.5808696496699538	1703.0625	0.6726155213270142	2
par	flickr8k	1	True	6	2	112	8.398661e-06	0.001583601	6.7808964e-05	0.008258235	0.00012792856	0.0153752845	3.3143348e-05	0.0029513743	1.3422886e-05	0.0023054418	5.344729e-05	0.0074935486	0.9034946585473206	1.052436444781571	0.478407441505364	0.28567263670265675	0.5641363677807801	0.35302459675170084	1784.830357142857	0.7049093037689009	2
par	flickr8k	1	True	6	3	112	2.0803302e-05	0.0017251604	0.00014967038	0.00552241	0.00031850307	0.011703705	4.433015e-05	0.0018576572	3.304404e-05	0.002424551	0.0001125479	0.0069846236	0.9034946585473206	1.052436444781571	0.4689418798578637	0.2374425655496972	0.6077551303897053	0.3369044143307422	1816.267857142857	0.7173253780185059	2
par	flickr8k	1	True	6	4	112	0.00013695595	0.001606244	0.0007691524	0.0062758857	0.0019949095	0.018787418	0.0001955698	0.0011856897	0.00021534348	0.0023559923	0.0006475122	0.007286038	0.9034946585473206	1.052436444781571	0.4629520031490496	0.20168063629950797	0.3274611363969078	0.1792433284489172	2002.142857142857	0.7907357255698488	3
par	flickr8k	1	True	6	5	112	1.0053199e-05	0.0016526	5.8742906e-05	0.0053825295	0.0001801886	0.015116246	9.957549e-06	0.00090290967	1.5730573e-05	0.0024835004	5.033248e-05	0.007341936	0.9034946585473206	1.052436444781571	0.4619259805019413	0.23052080161869526	0.3213824927640547	0.1993989896644572	1934.2142857142858	0.7639076957797337	3
par	flickr8k	1	True	6	6	112	3.970863e-05	0.0019365654	0.0002003777	0.00446617	0.00080168777	0.012801796	2.9373428e-05	0.0007119083	6.306933e-05	0.0028028733	0.00016363409	0.0072659818	0.9034946585473206	1.052436444781571	0.5575696425512433	0.3446219153702259	0.8260257597217527	0.4876132895338482	1813.6160714285713	0.7162780692845858	3
par	flickr8k	1	True	6	7	112	0.0014311682	0.0015686984	0.005237634	0.0055318573	0.013372892	0.015029244	0.0012844739	0.0012100277	0.0022138935	0.0024279896	0.0064521977	0.0071888873	0.9034946585473206	1.052436444781571	0.4685831599469696	0.19704330978649004	0.11596058362296649	0.10717648705966505	1997.9285714285713	0.7890713157300835	4
par	flickr8k	1	True	7	0	117	6.9243374e-06	0.0012349999	0.0001091225	0.011679218	0.00018482305	0.019775419	3.3421944e-05	0.0035830194	1.09568255e-05	0.0018047382	4.1355604e-05	0.0061774533	0.8989550005166959	1.0492656456289662	0.6192266467290047	0.35517862948596984	0.8084615375289422	0.45051412246166134	1910.2649572649573	0.7544490352547225	2
par	flickr8k	1	True	7	1	117	1.7625544e-09	0.0022295765	1.7550482e-08	0.008692675	2.7258361e-08	0.012440594	7.8426e-09	0.004944756	2.6599856e-09	0.0028485311	1.352793e-08	0.008189473	0.8989550005166959	1.0492656456289662	0.5396420652540321	0.3610437800232162	0.903203946185541	0.5702032580589637	1677.6153846153845	0.6625653177785878	2
par	flickr8k	1	True	7	2	117	3.1027635e-06	0.0017450543	2.0001498e-05	0.007993717	3.5255733e-05	0.014922029	9.851401e-06	0.0028188005	4.7817866e-06	0.002408151	2.0134756e-05	0.0072986553	0.8989550005166959	1.0492656456289662	0.4704959667645968	0.2771905382983705	0.5304001216362748	0.33692538700241625	1750.4444444444443	0.6913287695278216	3
