architecture	dataset	run	use_generated_sents	sent_len	token_index	min_logit	mean_logit	max_logit	total_time
par	flickr8k	2	True	7	3	-8.960663	-1.4582711	10.969685	0
par	flickr8k	2	True	7	4	-9.353276	-1.4667796	10.429643	0
par	flickr8k	2	True	7	5	-9.674872	-2.0411751	11.353479	0
par	flickr8k	2	True	7	6	-9.761372	-1.8728849	11.606854	0
par	flickr8k	2	True	7	7	-9.174787	-1.4002109	10.3592	0
par	flickr8k	2	True	7	8	-9.959604	-2.0389712	10.990189	0
par	flickr8k	2	True	8	0	-8.066703	-1.5139778	8.643609	0
par	flickr8k	2	True	8	1	-8.361664	-0.8888863	12.481803	0
par	flickr8k	2	True	8	2	-8.912999	-1.2055314	11.715002	0
par	flickr8k	2	True	8	3	-8.91887	-1.3779483	10.67383	0
par	flickr8k	2	True	8	4	-9.100723	-1.5011271	10.936879	0
par	flickr8k	2	True	8	5	-9.160998	-1.4992791	10.257349	0
par	flickr8k	2	True	8	6	-9.535761	-1.9779917	11.568479	0
par	flickr8k	2	True	8	7	-9.755558	-1.8597522	11.1068535	0
par	flickr8k	2	True	8	8	-9.096637	-1.3161514	9.6973505	0
par	flickr8k	2	True	8	9	-9.869986	-1.999978	10.974193	0
par	flickr8k	2	True	9	0	-8.060233	-1.528217	8.491432	0
par	flickr8k	2	True	9	1	-8.323448	-0.8940446	12.325975	0
par	flickr8k	2	True	9	2	-8.918261	-1.2332163	11.470009	0
par	flickr8k	2	True	9	3	-9.06394	-1.4278421	11.433314	0
par	flickr8k	2	True	9	4	-8.781551	-1.2222198	10.8964815	0
par	flickr8k	2	True	9	5	-9.166415	-1.5248728	10.959646	0
par	flickr8k	2	True	9	6	-9.417836	-1.5224562	10.631511	0
par	flickr8k	2	True	9	7	-9.744244	-1.9942628	11.124795	0
par	flickr8k	2	True	9	8	-9.82898	-1.9794017	11.581876	0
par	flickr8k	2	True	9	9	-9.27105	-1.4010689	10.026214	0
par	flickr8k	2	True	9	10	-10.122509	-2.0254276	11.159004	0
par	flickr8k	2	True	10	0	-8.099632	-1.5639893	8.448777	0
par	flickr8k	2	True	10	1	-8.33719	-0.92034835	12.240502	0
par	flickr8k	2	True	10	2	-9.078662	-1.2930149	11.69597	0
par	flickr8k	2	True	10	3	-8.935036	-1.570018	11.548823	0
par	flickr8k	2	True	10	4	-8.830476	-1.1802839	10.8106165	0
par	flickr8k	2	True	10	5	-9.193565	-1.2875581	11.084802	0
par	flickr8k	2	True	10	6	-9.485494	-1.5915428	11.243478	0
par	flickr8k	2	True	10	7	-9.475192	-1.5844473	10.563327	0
par	flickr8k	2	True	10	8	-9.569773	-2.0338352	11.468094	0
par	flickr8k	2	True	10	9	-9.724934	-1.9381361	11.3173685	0
par	flickr8k	2	True	10	10	-9.165681	-1.3542268	9.7239485	0
par	flickr8k	2	True	10	11	-10.188548	-2.0541253	11.030942	0
par	flickr8k	2	True	11	0	-8.049127	-1.4882402	8.524423	0
par	flickr8k	2	True	11	1	-8.398758	-0.86372966	12.381924	0
par	flickr8k	2	True	11	2	-9.067029	-1.1992244	11.637481	0
par	flickr8k	2	True	11	3	-9.070852	-1.4972553	11.243605	0
par	flickr8k	2	True	11	4	-8.9727745	-1.3004404	10.971207	0
par	flickr8k	2	True	11	5	-9.279169	-1.2283037	10.849476	0
par	flickr8k	2	True	11	6	-9.422475	-1.4220977	11.173029	0
par	flickr8k	2	True	11	7	-9.413128	-1.5444247	10.763115	0
par	flickr8k	2	True	11	8	-9.386274	-1.6649861	10.73888	0
par	flickr8k	2	True	11	9	-9.74337	-2.0057492	11.6429825	0
par	flickr8k	2	True	11	10	-9.619371	-1.8189186	11.247531	0
par	flickr8k	2	True	11	11	-9.150857	-1.3469565	10.007931	0
par	flickr8k	2	True	11	12	-10.203369	-2.0157454	11.263645	0
par	flickr8k	2	True	12	0	-8.039925	-1.5362349	8.46332	0
par	flickr8k	2	True	12	1	-8.338156	-0.9097693	12.2714815	0
par	flickr8k	2	True	12	2	-8.982658	-1.2827529	11.580302	0
par	flickr8k	2	True	12	3	-9.098547	-1.5559828	11.386923	0
par	flickr8k	2	True	12	4	-8.780536	-1.2185061	11.15034	0
par	flickr8k	2	True	12	5	-8.964525	-1.1302756	10.780754	0
par	flickr8k	2	True	12	6	-9.250377	-1.3795848	10.908387	0
par	flickr8k	2	True	12	7	-9.205171	-1.5548495	10.465324	0
par	flickr8k	2	True	12	8	-9.384291	-1.6264342	10.901222	0
par	flickr8k	2	True	12	9	-9.369681	-1.6354454	10.629219	0
par	flickr8k	2	True	12	10	-9.56022	-1.8605117	11.169559	0
par	flickr8k	2	True	12	11	-9.54291	-1.738702	10.805574	0
par	flickr8k	2	True	12	12	-9.054609	-1.3127345	9.507514	0
par	flickr8k	2	True	12	13	-10.105047	-1.9904572	11.141448	0
par	flickr8k	2	True	13	0	-8.111305	-1.5455512	8.497235	0
par	flickr8k	2	True	13	1	-8.262269	-0.9291502	12.406527	0
par	flickr8k	2	True	13	2	-9.068354	-1.2862242	11.867567	0
par	flickr8k	2	True	13	3	-9.013429	-1.5491161	11.369935	0
par	flickr8k	2	True	13	4	-8.844895	-1.2509843	11.060388	0
par	flickr8k	2	True	13	5	-9.1315975	-1.1848024	11.129416	0
par	flickr8k	2	True	13	6	-9.302259	-1.4298388	11.207219	0
par	flickr8k	2	True	13	7	-9.146461	-1.5217844	10.322888	0
par	flickr8k	2	True	13	8	-9.170201	-1.5900837	10.579263	0
par	flickr8k	2	True	13	9	-9.604643	-1.6446512	11.005655	0
par	flickr8k	2	True	13	10	-9.384166	-1.5644779	10.722266	0
par	flickr8k	2	True	13	11	-9.6189165	-1.9647433	11.761336	0
par	flickr8k	2	True	13	12	-9.741636	-1.8794471	11.213202	0
par	flickr8k	2	True	13	13	-8.925368	-1.3118067	9.736799	0
par	flickr8k	2	True	13	14	-10.109451	-1.9915848	11.050309	0
par	flickr8k	2	True	14	0	-8.147333	-1.542298	8.520523	0
par	flickr8k	2	True	14	1	-8.356722	-0.9318139	12.2925	0
par	flickr8k	2	True	14	2	-9.196477	-1.3686838	11.684277	0
par	flickr8k	2	True	14	3	-8.904001	-1.5741367	11.3924675	0
par	flickr8k	2	True	14	4	-8.813237	-1.2139312	11.040533	0
par	flickr8k	2	True	14	5	-9.183214	-1.0574664	11.08687	0
par	flickr8k	2	True	14	6	-9.473742	-1.4122219	11.4371395	0
par	flickr8k	2	True	14	7	-9.193615	-1.549606	10.3511305	0
par	flickr8k	2	True	14	8	-9.167943	-1.3838974	10.436807	0
par	flickr8k	2	True	14	9	-9.2504	-1.3765564	10.888155	0
par	flickr8k	2	True	14	10	-9.54118	-1.6917235	11.019617	0
par	flickr8k	2	True	14	11	-9.537376	-1.5876048	10.588896	0
par	flickr8k	2	True	14	12	-9.815081	-2.032213	11.960989	0
par	flickr8k	2	True	14	13	-9.655825	-1.8588908	11.046243	0
par	flickr8k	2	True	14	14	-9.128175	-1.3149467	9.671729	0
par	flickr8k	2	True	14	15	-10.146235	-1.9889066	10.820937	0
par	flickr8k	2	True	15	0	-8.12772	-1.5576555	8.461575	0
par	flickr8k	2	True	15	1	-8.310299	-0.9376591	12.2417145	0
par	flickr8k	2	True	15	2	-9.164582	-1.3166007	11.92042	0
par	flickr8k	2	True	15	3	-9.0698395	-1.6043527	11.457587	0
par	flickr8k	2	True	15	4	-8.873049	-1.2155852	11.017343	0
par	flickr8k	2	True	15	5	-9.370681	-1.1633027	11.384662	0
par	flickr8k	2	True	15	6	-9.330154	-1.4814891	11.186625	0
par	flickr8k	2	True	15	7	-9.131069	-1.4785032	10.12737	0
par	flickr8k	2	True	15	8	-9.411337	-1.528317	10.627306	0
par	flickr8k	2	True	15	9	-9.37284	-1.6646029	11.702518	0
par	flickr8k	2	True	15	10	-9.297326	-1.550782	10.857556	0
par	flickr8k	2	True	15	11	-9.557492	-1.7148893	10.802683	0
