corpus	frozen_prefix	corpus_size_factor_exponent	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
lm1b	True	-1.0	3	3000	1840	1310620	1.65197044341e-07	2.27933330534e-20	1.73200356182e-21	85.9426017319	53.7950407841	56.3754154364	1704	0.9260869565217391	5	5	16.989	20	0	0.0	None	970	70	1	1000	1.0	1063	355	532	130	1704	11568	14545	11	87	180	602	2180019	1.77315802195e-05	2.10990508522e-11	1.49015581243e-12	13.3196996647	8.87292606927	9.57043123516	103	0.17109634551495018	10	5	7.425	17	0	0.0	None	5157	3470	1804	546	0.546	66	9	13	1	103	270	536	0.5604504741441888	0.3723989775077027	0.23461202689563734	0.14561466653414848	0.14415550539034327	0.39428522354	0.250840373601	0.074308625088	0.0955391228628	75	218	310	32.0	0.075	0.218	0.31	0.032	11	162	485
lm1b	True	-0.5	3	9487	4651	2612113	1.29751211007e-08	4.52410772472e-25	4.15998293628e-26	223.153413041	134.671023277	140.961123687	3024	0.6501827563964738	5	5	16.711	20	0	0.0	None	1758	166	19	1000	1.0	1827	552	837	161	3024	12037	14384	8	166	266	1069	2539609	7.22936396576e-06	6.04507532876e-13	4.04361337347e-14	19.0290438335	11.8085173705	12.9462715801	176	0.1646398503274088	9	5	8.617	20	0	0.0	None	6569	5200	3738	636	0.636	121	13	28	2	176	409	688	0.6002055868940538	0.4103818182964717	0.26694230058382723	0.17108223017423785	0.1705498239757961	0.42647067215	0.371382169221	0.11256047529	0.125142239002	138	362	477	12.0	0.138	0.362	0.477	0.012	13	211	571
lm1b	True	0.0	3	30000	10063	5117869	1.95970559645e-09	3.04980257556e-27	2.90102360658e-28	336.715418384	205.453607407	221.168958532	3975	0.39501142800357747	5	5	16.486	20	0	0.0	None	2644	395	71	1000	1.0	2363	684	1047	197	3975	12303	14177	10	743	868	1587	2938469	4.05213826613e-06	1.0490416741e-13	5.8408716852e-15	23.2364006581	13.9697150642	15.3652984296	248	0.15626969124133586	10	5	9.392	20	0	0.0	None	7333	5970	4298	692	0.692	166	20	45	1	248	541	895	0.6058912009926553	0.4164908901677255	0.2781583495364254	0.1852473211788189	0.18463728100565183	0.435898420377	0.433383534959	0.122406741066	0.136042719059	161	403	546	8.5	0.161	0.403	0.546	0.0085	12	219	627
lm1b	True	0.5	3	94868	19824	9637212	7.6586182001e-10	7.55604553032e-28	8.36612803108e-29	384.240842299	226.024505669	247.734774385	4542	0.22911622276029056	5	5	16.149	20	0	0.0	None	2954	531	78	1000	1.0	2699	773	1145	217	4542	12463	13916	13	4206	4378	2032	3281119	5.35138525329e-06	5.29733489699e-14	2.93115050395e-15	26.1539475672	14.8509459809	16.3273109395	282	0.13877952755905512	9	5	8.906	17	0	0.0	None	6842	5421	3825	750	0.75	190	23	53	0	282	644	1059	0.6090108594528814	0.4234444589182776	0.2850814454289054	0.18941120988985272	0.18503167359938635	0.444132363761	0.46450751258	0.127732711651	0.140529083572	176	446	563	7.0	0.176	0.446	0.563	0.007	15	294	733
lm1b	True	1.0	3	300000	36064	17156332	4.70363960662e-10	4.34321708865e-29	4.42852419483e-30	504.390314551	291.443467149	319.488213075	4611	0.12785603371783497	5	5	16.56	20	0	0.0	None	4050	844	115	1000	1.0	2686	792	1200	205	4611	12676	14270	8	12557	12820	2334	3513659	4.34431639707e-06	2.90912170692e-14	1.71224089332e-15	27.5770736135	15.6882235581	17.1353166486	286	0.12253641816623821	9	5	9.264	20	0	0.0	None	7188	5749	4071	722	0.722	198	20	55	2	286	616	1010	0.6082857831060448	0.41632687540398905	0.2735346266333136	0.17949558646978325	0.18391702784561376	0.435204313025	0.440506387359	0.126048226545	0.134599550935	185	450	580	7.0	0.185	0.45	0.58	0.007	12	252	730
lm1b	False	-1.0	1	3000	1893	1335159	1.55874615455e-07	8.28144916432e-21	7.88761485538e-22	88.9212776203	57.9588900133	60.8183300011	1714	0.9054410987849973	5	5	16.931	20	0	0.0	None	1154	110	3	1000	1.0	1060	363	547	128	1714	11396	14424	11	87	175	607	2183869	2.95180838508e-05	4.09271041279e-10	3.25441690126e-11	10.1502776607	6.7965810876	7.47715527148	145	0.23887973640856672	7	5	11.477	20	0	0.0	None	8981	6615	4081	731	0.731	93	14	23	2	145	427	840	0.5061427202230107	0.31904378817268025	0.1940198686362008	0.11542261620980761	0.15809527985764768	0.381898056649	0.237945298233	0.076223480212	0.0987655220056	62	210	311	31.0	0.062	0.21	0.311	0.031	10	217	572
lm1b	False	-0.5	1	9487	4619	2597297	5.84669901234e-09	6.88363861898e-25	5.36033495822e-26	215.597417699	131.603709739	139.000699778	2979	0.6449447932452912	5	5	16.735	20	0	0.0	None	1715	184	7	1000	1.0	1790	555	868	150	2979	12109	14378	8	166	268	1073	2542689	1.2152545199e-05	1.7683223601e-11	1.06660504324e-12	14.2901947241	8.96892369061	9.97117917698	185	0.1724137931034483	13	5	11.135	20	0	0.0	None	9067	7722	6080	634	0.634	121	15	35	2	185	467	801	0.5596766951054728	0.37341127431692994	0.24351131492059983	0.15719530861640008	0.1838319600108256	0.420652715313	0.376809588505	0.120701015278	0.125035615724	104	307	424	15.5	0.104	0.307	0.424	0.0155	8	187	582
lm1b	False	0.0	1	30000	10022	5098886	3.05974459279e-09	4.01805019994e-27	4.67726188184e-28	325.825819701	197.018969806	211.464451462	3995	0.398623029335462	5	5	16.383	20	0	0.0	None	2622	393	60	1000	1.0	2360	685	1051	204	3995	12242	14062	11	814	938	1577	2930769	1.00397757713e-05	1.598592899e-12	1.02851618817e-13	18.2247595159	10.9389704637	12.1245975234	254	0.16106531388712747	6	5	10.97	18	0	0.0	None	8877	7367	5683	697	0.697	163	19	60	3	254	613	1061	0.5716499544210965	0.38041898521077605	0.24874828721326256	0.1630518629782968	0.18694232469759323	0.424581592123	0.402465183512	0.124304911116	0.126086749932	130	344	473	12.0	0.13	0.344	0.473	0.012	7	177	614
lm1b	False	0.5	1	94868	19802	9627026	1.25912961433e-09	7.6255394014e-28	8.38872218076e-29	386.95100254	227.757567873	247.876584771	4602	0.2324007675992324	5	5	16.621	20	0	0.0	None	3107	523	86	1000	1.0	2646	801	1248	232	4602	12814	14359	11	3609	3779	2022	3273419	9.07827895532e-06	6.39339359491e-13	3.76816283336e-14	20.5509787513	11.9716339444	13.2220341406	281	0.13897131552917902	6	5	9.792	16	0	0.0	None	7733	6384	4828	714	0.714	176	24	64	3	281	656	1098	0.6000816993463439	0.40490007105711373	0.2633432326585773	0.17350007934060047	0.1888043620528386	0.431656155084	0.450611295246	0.125586299921	0.136323969067	157	374	507	10.0	0.157	0.374	0.507	0.01	7	187	647
lm1b	False	1.0	1	300000	36033	17141979	5.68676865345e-10	3.74391620658e-29	2.80938737659e-30	530.400528213	309.110772332	333.745822304	4783	0.1327394332972553	5	5	16.71	20	0	0.0	None	3916	789	106	1000	1.0	2831	766	1239	237	4783	12922	14450	9	14495	14755	2322	3504419	9.64392118665e-06	4.23928186606e-13	2.39422179282e-14	21.4843349363	12.3713452726	13.7690325785	303	0.13049095607235142	5	5	9.836	18	0	0.0	None	7743	6373	4823	699	0.699	194	23	74	3	303	699	1142	0.5891130674405607	0.3984572702793959	0.2629177519915351	0.17257568806514234	0.18782961380760405	0.429190274184	0.419346483694	0.125353113341	0.132237070438	159	397	514	10.0	0.159	0.397	0.514	0.01	7	195	683
